content,tips,lesson,translation,mask
"ちこく（遅刻）","","5","［名］ 迟到","遅刻"
"やすみ（休み）","","5","［名］ 休息","休み"
"しゅっちょう（出張）","","5","［名］ 出差","出張"
"けんしゅう（研修）","","5","［名］ 进修","研修"
"りょこう（旅行）","","5","［名］ 旅行","旅行"
"てんらんかい（展覧会）","","5","［名］ 展览会","展覧会"
"かんげいかい（歓迎会）","","5","［名］ 欢迎会","歓迎会"
"パーティー","","5","［名］ 联欢会","パーティー"
"おたく（お宅）","","5","［名］ 府上，（您）家","お宅"
"いつ","","5","［疑］ 什么时候","いつ"
"やすみます（休みます）","","5","［动1］ 休息","休みます"
"はたらきます（働きます）","","5","［动1］ 工作","働きます"
"はじまります（始まります）","","5","［动1］ 开始","始まります"
"おわります（終わります）","","5","［动1］ 结束","終わります"
"おきます（起きます）","","5","［动2］ 起床","起きます"
"ねます（寝ます）","","5","［动2］ 睡觉","寝ます"
"べんきょうします（勉強～）","","5","［动3］ 学习","勉強します"
"いつも","","5","［副］ 经常，总是","いつも"
"ペキンししゃ（北京支社）","","5","［专］ 北京分社","北京支社"
"こうべ（神戸）","","5","［专］ 神户","神戸"
"おはよう","","5","你早","おはよう"
"じ（時）","","5","時","時"
"ふん（分）","","5","分","分"
"はん（半）","","5","半","半"
"がつ（月）","","5","月","月"
"にち（日）","","5","日","日"
"ねん（年）","","5","年","年"
"ごろ","","5","……时分，……前后，……左右","ごろ"
"らいげつ（来月）","","6","［名］ 下个月","来月"
"せんげつ（先月）","","6","［名］ 上个月","先月"
"よなか（夜中）","","6","［名］ 午夜，半夜","夜中"
"ゆうべ","","6","［名］ 昨天晚上","ゆうべ"
"コンサート","","6","［名］ 音乐会","コンサート"
"クリスマス","","6","［名］ 圣诞节","クリスマス"
"たんじょうび（誕生日）","","6","［名］ 生日","誕生日"
"こどものひ（こどもの日）","","6","［名］ 儿童节","こどもの日"
"なつやすみ（夏休み）","","6","［名］ 暑假","夏休み"
"こうつうきかん（交通機関）","","6","［名］ 交通工具","交通機関"
"しんかんせん（新幹線）","","6","［名］ 新干线","新幹線"
"ひこうき（飛行機）","","6","［名］ 飞机","飛行機"
"フェリー","","6","［名］ 渡轮","フェリー"
"でんしゃ（電車）","","6","［名］ 电车","電車"
"バス","","6","［名］ 公共汽车","バス"
"タクシー","","6","［名］ 出租车","タクシー"
"びじゅつかん（美術館）","","6","［名］ 美术馆","美術館"
"アパート","","6","［名］ 公寓","アパート"
"うち","","6","［名］ 家","うち"
"プール","","6","［名］ 游泳池","プール"
"ともだち（友達）","","6","［名］ 朋友","友達"
"おとうと（弟）","","6","［名］ 弟弟","弟"
"いきます（行きます）","","6","［动1］ 去","行きます"
"かえります（帰ります）","","6","［动1］ 回来，回去","帰ります"
"きます（来ます）","","6","［动3］ 来","来ます"
"たしか","","6","［副］ 好像是，大概；的确","たしか"
"まっすぐ","","6","［副］ 径直，笔直","まっすぐ"
"いっしょに","","6","［副］ 一起","いっしょに"
"さとう（佐藤）","","6","［专］ 佐藤","佐藤"
"ペキン（北京）","","6","［专］ 北京","北京"
"アメリカ","","6","［专］ 美国","アメリカ"
"かんこく（韓国）","","6","［专］ 韩国","韓国"
"フランス","","6","［专］ 法国","フランス"
"ひろしま（広島）","","6","［专］ 广岛","広島"
"きょうと（京都）","","6","［专］ 京都","京都"
"ほっかいどう（北海道）","","6","［专］ 北海道","北海道"
"はこね（箱根）","","6","［专］ 箱根","箱根"
"ぎんざ（銀座）","","6","［专］ 银座","銀座"
"しぶや（渋谷）","","6","［专］ 涩谷","渋谷"
"しんじゅく（新宿）","","6","［专］ 新宿","新宿"
"おつかれさまでした","","6","（お疲れ様でした）够累的","お疲れ様でした"
"おさきにしつれいします","","6","（お先に失礼します）我先走了，我先告辞了","お先に失礼します"
"あるいて","","6","（歩いて）步行","あるいて"
"たいへんですね","","6","（大変ですね）真不容易，够受的，不得了","大変ですね"
"コーヒー","","7","［名］ 咖啡","コーヒー"
"コーラ","","7","［名］ 可乐","コーラ"
"おちゃ（お茶）","","7","［名］ 茶","お茶"
"ワイン","","7","［名］ 葡萄酒","ワイン"
"パン","","7","［名］ 面包","パン"
"ケーキ","","7","［名］ 蛋糕","ケーキ"
"おかゆ（お粥）","","7","［名］ 粥","お粥"
"ひるごはん（昼ご飯）","","7","［名］ 午饭","昼ご飯"
"おべんとう（お弁当）","","7","［名］ 盒饭","お弁当"
"そば","","7","［名］ 荞麦面","そば"
"うどん","","7","［名］ 面条","うどん"
"おやこどん（親子丼）","","7","［名］ 鸡肉鸡蛋盖饭","親子丼"
"カレー","","7","［名］ 咖喱（饭）","カレー"
"たまご（卵）","","7","［名］ 鸡蛋","卵"
"チーズ","","7","［名］ 干酪","チーズ"
"リンゴ","","7","［名］ 苹果","リンゴ"
"イチゴ","","7","［名］ 草莓","イチゴ"
"そばや（そば屋）","","7","［名］ 荞麦面馆","そば屋"
"テニス（tennis）","","7","［名］ 网球","テニス"
"ジョギング（jogging）","","7","［名］ 慢跑，跑步","ジョギング"
"サッカー","","7","［名］ 足球","サッカー"
"やきゅう（野球）","","7","［名］ 棒球","野球"
"もうしこみしょ（申込書）","","7","［名］ 申请书","申込書"
"てかみ（手紙）","","7","［名］ 信","手紙"
"シーディー（ＣＤ）","","7","［名］ CD","ＣＤ"
"おんがく（音楽）","","7","［名］ 音乐","音楽"
"えいが（映画）","","7","［名］ 电影","映画"
"どうぶつえん（動物園）","","7","［名］ 动物园","動物園"
"パンダ","","7","［名］ 熊猫","パンダ"
"のみます（飲みます）","","7","［动1］ 喝","飲みます"
"かいます（買います）","","7","［动1］ 买","買います"
"とります（撮ります）","","7","［动1］ 拍照，拍摄","撮ります"
"かきます（書きます）","","7","［动1］ 写","書きます"
"よみます（読みます）","","7","［动1］ 读","読みます"
"ききます（聞きます）","","7","［动1］ 听","聞きます"
"たべます（食べます）","","7","［动2］ 吃","食べます"
"みます（見ます）","","7","［动2］ 看","見ます"
"します","","7","［动3］ 干，做","します"
"そうじします（掃除～）","","7","［动3］ 打扫，扫除","掃除します"
"これから","","7","［副］ 从现在起，今后","これから"
"じゃあ","","7","［连］ 那么","じゃあ"
"では","","7","［连］ 那么","では"
"いらっしゃいませ","","7","欢迎光临","いらっしゃいませ"
"しつれいします（失礼します）","","7","告辞了，我走了","失礼します"
"しつれいしました（失礼しました）","","7","打搅了，失礼了","失礼しました"
"いってまいります","","7","我走了","行ってまいります"
"いってきます","","7","我走了","行ってきます"
"いってらっしゃい","","7","你走好","いってらっしゃい"
"ただいま","","7","我回来了","ただいま"
"おかえりなさい（お帰りなさい）","","7","你回来了","お帰りなさい"
"かしこまりました","","7","我知道了","かしこまりました"
"おじゃまします（お邪魔します）","","7","打扰了","お邪魔します"
"ください","","7","给我","ください"
"ごぜんちゅう（午前中）","","7","上午","午前中"
"プレゼント","","8","［名］ 礼物","プレゼント"
"チケット","","8","［名］ 票","チケット"
"パンフレット","","8","［名］ 小册子","パンフレット"
"きねんひん（記念品）","","8","［名］ 纪念品","記念品"
"スケジュールひょう（～表）","","8","［名］ 日程表","スケジュール表"
"しゃしんしゅう（写真集）","","8","［名］ 影集","写真集"
"はな（花）","","8","［名］ 花","花"
"おかね（お金）","","8","［名］ 钱，金钱","お金"
"ボールペン","","8","［名］ 圆珠笔","ボールペン"
"しゅくだい（宿題）","","8","［名］ 作业","宿題"
"こうくうびん（航空便）","","8","［名］ 航空邮件","航空便"
"そくたつ（速達）","","8","［名］ 速递，快件","速達"
"ファックス","","8","［名］ 传真","ファックス"
"メール","","8","［名］ 邮件","メール"
"でんおばんごう（電話番号）","","8","［名］ 电话号码","電話番号"
"じゅうしょ（住所）","","8","［名］ 住址","住所"
"なまえ（名前）","","8","［名］ 姓名","名前"
"けん（件）","","8","［名］ 事件，事情","件"
"しんぶんし（新聞紙）","","8","［名］ 报纸","新聞紙"
"かみひこうき（紙飛行機）","","8","［名］ 纸折的飞机","紙飛行機"
"チョコレート","","8","［名］ 巧克力","チョコレート"
"アイスクリーム","","8","［名］ 冰激凌","アイスクリーム"
"こむぎこ（小麦粉）","","8","［名］ 面粉","小麦粉"
"はし","","8","［名］ 筷子","はし"
"スプーン","","8","［名］ 勺子","スプーン"
"おにいさん（お兄さん）","","8","［名］ 哥哥","お兄さん"
"かんこくご（韓国語）","","8","［名］ 韩语","韓国語"
"ゆうがた（夕方）","","8","［名］ 傍晚","夕方"
"ひるやすみ（昼休み）","","8","［名］ 午休","昼休み"
"もらいます","","8","［动1］ 拿到，得到","もらいます"
"あいます（会います）","","8","［动1］ 见","会います"
"おくります（送ります）","","8","［动1］ 寄","送ります"
"つくります（作ります）","","8","［动1］ 做，制造","作ります"
"ふとります（太ります）","","8","［动1］ 胖","太ります"
"だします（出します）","","8","［动1］ 寄（信）","出します"
"とどきます（届きます）","","8","［动1］ 收到，送到，寄到","届きます"
"かきます","","8","［动1］ 画","かきます"
"かします（貸します）","","8","［动1］ 借出，借给","貸します"
"ならいます（習います）","","8","［动1］ 学习","習います"
"あげます","","8","［动2］ 给","あげます"
"かけます","","8","［动2］ 打（电话）","かけます"
"かります（借ります）","","8","［动2］ （向别人）借","借ります"
"おしえます（教えます）","","8","［动2］ 教","教えます"
"もう","","8","［副］ 已经","もう"
"さっき","","8","［副］ 刚才","さっき"
"たったいま（たった今）","","8","［副］ 刚刚","たった今"
"もういちど（もう一度）","","8","［副］ 再一次","もう一度"
"まえに（前に）","","8","［副］ 以前","前に"
"ちん（陳）","","8","［专］ 陈","陳"
"どうですか","","8","怎样，如何","どうですか"
"おねがいします（お願いします）","","8","拜托了","お願いします"
"わかりました（分かりました）","","8","明白了","分かりました"
"よかったです","","8","太好了","よかったです"
"さま（様）","","8","（代）样子,姿势,先生,女士,动词后缀","様"
"りょうり（料理）","","9","［名］ 菜肴，饭菜","料理"
"しせんりょうり（四川料理）","","9","［名］ 四川菜","四川料理"
"スーブ","","9","［名］ 汤","スーブ"
"ぺキンダック（北京～）","","9","［名］ 北京烤鸭","北京～"
"たべもの（食べ物）","","9","［名］ 食物，食品","食べ物"
"すきやき（すき焼き）","","9","［名］ 日式牛肉火锅","すき焼き"
"おんせん（温泉）","","9","［名］ 温泉","温泉"
"おゆ（お湯）","","9","［名］ 热水，开水","お湯"
"みず（水）","","9","［名］ 水，凉水","水"
"ゆかた（浴衣）","","9","［名］ 浴衣，夏季和服","浴衣"
"ながめ（眺め）","","9","［名］ 景色，风景","眺め"
"くすり（薬）","","9","［名］ 药","薬"
"てんき（天気）","","9","［名］ 天气","天気"
"うみ（海）","","9","［名］ 大海","海"
"やま（山）","","9","［名］ 山","山"
